"EC reference","Entity name","Entity type","Regulated donee type","Rec'd by (AU)","Reported under 62:12","Is sponsorship","Donor name","Donor type","Company reg. no.","Postcode","Type of donation","Nature / Provision","Purpose","How dealt with","Value","Received date","Accepted date","Reported date","Reported pre or post poll","Entity ID","Accounting unit ID",
"C0097083","Mr Michael Ellis MP","Regulated Donee","MP - Member of Parliament","",,"Sponsorship","Mr Alexander Temerko","Individual","","","Cash","","","","£5,000.00","05/02/2014","05/02/2014","10/02/2014",,"1519","",
"C0097093","Mr James Wharton MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Peter Cruddas","Individual","","","Cash","","","","£10,000.00","10/02/2014","10/02/2014","19/02/2014",,"1658","",
"C0097094","Mr James Wharton MP","Regulated Donee","MP - Member of Parliament","",,,"United and Cecil Club, 18 Thorney Lane North","Unincorporated Association","","SL0 9JY","Cash","","","","£5,000.00","12/02/2014","12/02/2014","19/02/2014",,"1658","",
"C0097096","Conservative Middle East Council","Regulated Donee","Members Association","",,,"Mr David J Rowland","Individual","","","Cash","","","","£20,000.00","14/02/2014","14/02/2014","27/02/2014",,"1390","",
"C0097105","Ms Helen Hayes","Regulated Donee","Member of Registered Political Party","",,,"Mr Anthony Rifkin","Individual","","","Cash","","","","£2,000.00","01/02/2014","15/02/2014","18/02/2014",,"2296","",
"V0097117","Mr David Amess MP","Regulated Donee","MP - Member of Parliament","",,,"Ministry of Foreign Affairs (Saudi Arabia), c/o Royal Embassy of Saudi Arabia","Other","","W1J 5DZ","Visit","","All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","","£5,292.00",,"16/02/2014","12/03/2014",,"1189","",
"V0097118","Mr Peter Bone MP","Regulated Donee","MP - Member of Parliament","",,,"Conservative Friends of Israel, 45b Westbourne Terrace","Unincorporated Association","","W2 3UR","Visit","","Fact finding political delegation to Israel and the West Bank.","","£2,000.00",,"11/03/2014","11/03/2014",,"1674","",
"V0097119","Mr Philip Davies","Regulated Donee","MP - Member of Parliament","",,,"Ministry of Foreign Affairs (Saudi Arabia), c/o Royal Embassy of Saudi Arabia","Other","","W1J 5DZ","Visit","","All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","","£5,292.00",,"16/02/2014","17/03/2014",,"1794","",
"C0097120","Mr Michael Ellis MP","Regulated Donee","MP - Member of Parliament","",,,"Mr David Ross","Individual","","","Cash","","","","£4,000.00","11/03/2014","11/03/2014","12/03/2014",,"1519","",
"V0097121","Mr Mark Field MP","Regulated Donee","MP - Member of Parliament","",,,"Cains, One Love Lane","Other","","EC2V 7JN","Visit","","As member of a Trade Mission organised by the Isle of Man government and led by its Chief Minister.","","£4,800.00",,"08/03/2014","17/03/2014",,"1319","",
"C0097122","The Rt Hon Dr Liam Fox MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Michael Lewis","Individual","","","Cash","","","","£10,000.00","17/03/2014","17/03/2014","20/03/2014",,"1035","",
"C0097123","The Rt Hon Dr Liam Fox MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Mick Davis","Individual","","","Cash","","","","£7,000.00","20/03/2014","21/03/2014","20/03/2014",,"1035","",
"V0097124","The Rt Hon Dr Liam Fox MP","Regulated Donee","MP - Member of Parliament","",,,"The Colonial Williamsburg Foundation, 301 1st Street","Other","","VA 23185","Visit","","To take part in the Williamsburg-CSIS Forum in association with the CSIS Europe Program and the Colonial Williamsburg Foundation.","","£2,665.93",,"16/03/2014","20/03/2014",,"1035","",
"V0097125","Sir Roger Gale MP","Regulated Donee","MP - Member of Parliament","",,,"The Society for the Protection of Animals Abroad, 12 John Street","Other","","WC1N 2EB","Visit","","To view the Society's operation and veterinary and educational facilities in Mauritania, in my capacity as Chairman.","","£1,530.48",,"13/02/2014","11/03/2014",,"1610","",
