mpid	firstname	surname	party
40289	Diane	Abbott	Lab
40684	Debbie	Abrahams	Lab
40523	Nigel	Adams	Con
40661	Adam	Afriyie	Con
40185	Bob	Ainsworth	Lab
40638	Peter	Aldous	Con
40331	Danny	Alexander	LDem
40474	Douglas	Alexander	Lab
40363	Heidi	Alexander	Lab
40075	Rushanara	Ali	Lab
40461	Graham	Allen	Lab
40565	David	Amess	Con
40095	David	Anderson	Lab
40489	Stuart	Andrew	Con
40439	James	Arbuthnot	Con
40686	Jonathan	Ashworth	Lab
40210	Ian	Austin	Lab
40549	Richard	Bacon	Con
40647	Adrian	Bailey	Lab
40274	William	Bain	Lab
40362	Norman	Baker	LDem
40676	Steven	Baker	Con
40053	Tony	Baldry	Con
40654	Harriett	Baldwin	Con
40411	Edward	Balls	Lab
40464	Gordon	Banks	Lab
40436	Stephen	Barclay	Con
40077	Gregory	Barker	Con
40059	John	Baron	Con
40508	Kevin	Barron	Lab
40190	Gavin	Barwell	Con
40682	Hugh	Bayley	Lab
40035	Guto	Bebb	Con
40202	Margaret	Beckett	Lab
40037	Anne	Begg	Lab
40073	Alan	Beith	LDem
40400	Stuart	Bell	Lab
40454	Henry	Bellingham	Con
40353	Hilary	Benn	Lab
40102	Joe	Benton	Lab
40418	Richard	Benyon	Con
40406	Paul	Beresford	Con
40372	Luciana	Berger	Lab
40507	Jake	Berry	Con
40526	Clive	Betts	Lab
40317	Andrew	Bingham	Con
40457	Brian	Binley	Con
40132	Gordon	Birtwistle	LDem
40300	Bob	Blackman	Con
40174	Roberta	Blackman-Woods	Lab
40472	Nicola	Blackwood	Con
40517	Hazel	Blears	Lab
40401	Tom	Blenkinsop	Lab
40525	Paul	Blomfield	Lab
40527	David	Blunkett	Lab
40496	Crispin	Blunt	Con
40283	Nicholas	Boles	Con
40641	Peter	Bone	Con
40674	Peter	Bottomley	Con
40574	Karen	Bradley	Con
40254	Ben	Bradshaw	Lab
40041	Graham	Brady	Con
40152	Tom	Brake	LDem
40219	Angie	Bray	Con
40144	Julian	Brazier	Con
40148	Kevin	Brennan	Lab
40453	Andrew	Bridgen	Con
40660	Steve	Brine	Con
40466	James	Brokenshire	Con
40395	Annette	Brooke	LDem
40348	Gordon	Brown	Lab
